Instance ID,Region,Instance Type,State,Private IP,Public IP,Vpc ID,Subnet ID,Account ID
i-0a4c3c166092b8970,us-west-2b,t2.micro,stopped,172.31.20.126,NA,vpc-030eba7a,subnet-6adf3713,794965340553
i-063487d354af8423d,us-west-2b,t2.medium,running,172.32.3.196,NA,vpc-073758a0558d639a9,subnet-0cc8d0e175d37d681,794965340553
i-05c1330ddef65cecf,us-west-2a,t2.large,stopped,172.31.33.36,NA,vpc-030eba7a,subnet-46c2c90e,794965340553
i-0f37230694c9cfdbd,us-west-2a,t2.micro,stopped,172.31.39.135,NA,vpc-030eba7a,subnet-46c2c90e,794965340553
i-0c9f7a451b2c36503,us-west-2a,t2.large,stopped,172.31.33.107,NA,vpc-030eba7a,subnet-46c2c90e,794965340553
i-08804061656fcf057,us-west-2a,t2.large,stopped,172.31.42.8,NA,vpc-030eba7a,subnet-46c2c90e,794965340553
i-0ad713d01d66f0e12,us-west-2a,m5.xlarge,running,172.32.1.10,34.215.149.218,vpc-073758a0558d639a9,subnet-0ad18e705b2ce125e,794965340553
i-0886b430a051b9200,us-west-2a,c5.xlarge,running,172.32.1.14,34.217.223.158,vpc-073758a0558d639a9,subnet-0ad18e705b2ce125e,794965340553
i-0f794a05083edb035,us-west-2a,c5.xlarge,running,172.32.1.13,52.38.87.30,vpc-073758a0558d639a9,subnet-0ad18e705b2ce125e,794965340553
i-0079da4b9ae002c5f,us-west-2a,m3.xlarge,running,172.32.9.199,NA,vpc-073758a0558d639a9,subnet-004676a634a947cbc,794965340553
i-072de7bf359becf30,us-west-2a,t2.large,running,172.32.8.203,NA,vpc-073758a0558d639a9,subnet-0da24b88d3d8eb4e8,794965340553
i-010f722a0048f1a3b,us-west-2a,t2.micro,stopped,172.32.19.118,NA,vpc-073758a0558d639a9,subnet-033c8598915fbb56d,794965340553
i-04d926bbb0461f899,us-west-2a,t2.small,running,172.32.9.234,NA,vpc-073758a0558d639a9,subnet-004676a634a947cbc,794965340553
i-095566daa6be89b95,us-west-2a,t2.micro,stopped,172.32.21.156,NA,vpc-073758a0558d639a9,subnet-0a09d1c48a1bef3df,794965340553
i-0ea24f597413c6b53,us-west-2a,t2.micro,running,172.32.8.133,NA,vpc-073758a0558d639a9,subnet-0da24b88d3d8eb4e8,794965340553
i-06a5d16cfa05003c2,us-west-2a,t2.micro,stopped,172.32.9.168,NA,vpc-073758a0558d639a9,subnet-004676a634a947cbc,794965340553
i-00f085727e174b0a9,us-west-2a,t2.micro,running,172.32.21.120,NA,vpc-073758a0558d639a9,subnet-0a09d1c48a1bef3df,794965340553
i-0af5c510844182d5a,us-west-2c,t2.medium,stopped,172.31.0.100,NA,vpc-030eba7a,subnet-576db20d,794965340553
i-0276bb2b67f1f805f,us-west-2c,t2.small,stopped,172.31.0.101,NA,vpc-030eba7a,subnet-576db20d,794965340553
i-093495b868ac5e879,us-west-2c,t2.small,stopped,172.31.6.196,NA,vpc-030eba7a,subnet-576db20d,794965340553
i-0434402d503ea76dd,us-west-2c,t2.xlarge,running,172.32.6.129,NA,vpc-073758a0558d639a9,subnet-0a6f38ad4a8bcedae,794965340553
i-011a96bbe2c1fc0b2,us-west-2b,t2.medium,running,172.32.3.154,NA,vpc-073758a0558d639a9,subnet-0cc8d0e175d37d681,794965340553
i-02611b9726c96635f,us-west-2b,t2.medium,running,172.32.3.98,NA,vpc-073758a0558d639a9,subnet-0cc8d0e175d37d681,794965340553
i-02ce2dfaf06cf7a25,us-west-2b,t2.medium,running,172.32.3.242,NA,vpc-073758a0558d639a9,subnet-0cc8d0e175d37d681,794965340553
i-0a1225b86b9d5bb7c,us-west-2b,t2.medium,running,172.32.3.62,NA,vpc-073758a0558d639a9,subnet-0cc8d0e175d37d681,794965340553
